platform,microvm_abi_version,processors,commit,metric,unit,direction,p50
linux-kvm-baremetal,2,8,7441b18f18a758845ae75930f278740786a6a52b,shell_snapshot_restore_512_mib,ms,lower,259.1
linux-kvm-baremetal,2,8,ced57386190384cc882e45604b28d60465a27319,shell_snapshot_restore_512_mib,ms,lower,22.4
linux-kvm-baremetal,2,8,a26c5f3c6cbf490b65e7cce41620465408e898ca,shell_snapshot_restore_512_mib,ms,lower,23.2
linux-kvm-baremetal,2,8,3be14e849151b196ddd815f985598d29641757cb,shell_snapshot_restore_512_mib,ms,lower,22.3
linux-kvm-baremetal,2,8,cb52bcd454b454cb241096c33ed42a1dcdc65347,shell_snapshot_restore_512_mib,ms,lower,23.2
linux-kvm-baremetal,2,8,81189ec3af226c08396da0b6780b229106d84d97,shell_snapshot_restore_512_mib,ms,lower,50.3
linux-kvm-baremetal,2,8,a6648e6b35e2095d5ff1f3cb43ea91e64a9b884e,shell_snapshot_restore_512_mib,ms,lower,22.3
linux-kvm-baremetal,2,8,ae80f11af1957c687489cbc4659648e56116007d,shell_snapshot_restore_512_mib,ms,lower,22.8
linux-kvm-baremetal,2,8,97eeda6d348f86c091197c8d83d2fcf44639546a,shell_snapshot_restore_512_mib,ms,lower,23.3
linux-kvm-baremetal,2,8,366ce83a18f04760b2dcc7c4954b7c644120f5d7,shell_snapshot_restore_512_mib,ms,lower,21.7
linux-kvm-baremetal,2,8,d1e4a9418740a6f18d2734103850e5b9f02fd595,shell_snapshot_restore_512_mib,ms,lower,22.4
