commit,metric,unit,direction,p50
fe06bafe801ec0ce9c87371f051e87f4a20f07a9,openvmm_cold_start,ms,lower,197.395248
fe06bafe801ec0ce9c87371f051e87f4a20f07a9,openvmm_snapshot_restore,ms,lower,15.529966
fe06bafe801ec0ce9c87371f051e87f4a20f07a9,openvmm_cold_start_teardown,ms,lower,26.64049
fe06bafe801ec0ce9c87371f051e87f4a20f07a9,openvmm_snapshot_restore_teardown,ms,lower,4.897809
517c5b09be462a7cb8918fe4b2b2bd20a5c81c0e,openvmm_cold_start,ms,lower,197.05177
517c5b09be462a7cb8918fe4b2b2bd20a5c81c0e,openvmm_snapshot_restore,ms,lower,15.385331
517c5b09be462a7cb8918fe4b2b2bd20a5c81c0e,openvmm_cold_start_teardown,ms,lower,26.164878
517c5b09be462a7cb8918fe4b2b2bd20a5c81c0e,openvmm_snapshot_restore_teardown,ms,lower,4.851637
828ce5aa88de93285ad1e8df880cd8fe277ce181,openvmm_cold_start,ms,lower,196.99325
828ce5aa88de93285ad1e8df880cd8fe277ce181,openvmm_snapshot_restore,ms,lower,15.484986
828ce5aa88de93285ad1e8df880cd8fe277ce181,openvmm_cold_start_teardown,ms,lower,25.034557
828ce5aa88de93285ad1e8df880cd8fe277ce181,openvmm_snapshot_restore_teardown,ms,lower,4.781928
ec3931162552abb1e56c6c9df3ec9eb20e870e14,openvmm_cold_start,ms,lower,198.650212
ec3931162552abb1e56c6c9df3ec9eb20e870e14,openvmm_snapshot_restore,ms,lower,16.135925
ec3931162552abb1e56c6c9df3ec9eb20e870e14,openvmm_cold_start_teardown,ms,lower,29.170272
ec3931162552abb1e56c6c9df3ec9eb20e870e14,openvmm_snapshot_restore_teardown,ms,lower,4.795651
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_base,ms,lower,311.3
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_clocksource,ms,lower,312.1
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_cryptomgr_notests,ms,lower,311.1
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_mitigations_off,ms,lower,197
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_no_timer_check,ms,lower,311.3
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_nokaslr,ms,lower,312
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_random_trust_cpu,ms,lower,311.8
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_rcu_expedited,ms,lower,311.3
4e0921c928ea00b7b42e7f440787c0dcf3b5d861,cold_start_tsc_reliable,ms,lower,311.2
