platform,microvm_abi_version,processors,commit,metric,unit,direction,p50
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_base,ms,lower,515.4
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_clocksource,ms,lower,521.2
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_cryptomgr_notests,ms,lower,516.9
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_mitigations_off,ms,lower,402.1
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_no_timer_check,ms,lower,465
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_nokaslr,ms,lower,510.6
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_random_trust_cpu,ms,lower,515.1
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_rcu_expedited,ms,lower,512.3
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_tsc_reliable,ms,lower,502.4
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_cold,ms,lower,535.8
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_restore,ms,lower,121.7
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_restore_wall,ms,lower,178.6
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start,ms,lower,349.75
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start_guest_exit_teardown,ms,lower,40.7699
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start_peak_rss,MiB,lower,69.03515625
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_generation,ms,lower,2775.908
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_generation_peak_rss,MiB,lower,69.671875
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore,ms,lower,433.6313
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore_guest_exit_teardown,ms,lower,19.1869
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore_peak_rss,MiB,lower,19.40234375
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_128_mib,ms,lower,510.4
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_256_mib,ms,lower,520.1
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_512_mib,ms,lower,518.2
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_64_mib,ms,lower,508.4
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_128_mib,ms,lower,108.3
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_256_mib,ms,lower,106.8
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_512_mib,ms,lower,119
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_64_mib,ms,lower,107.2
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_read,MB/s,higher,531.5
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_roundtrip,ms,lower,680.4
windows-whp-baremetal,2,1,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_write,MB/s,higher,205.4
