platform,microvm_abi_version,processors,commit,metric,unit,direction,p50
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_base,ms,lower,407.8
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_clocksource,ms,lower,410.2
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_cryptomgr_notests,ms,lower,409
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_mitigations_off,ms,lower,316.3
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_no_timer_check,ms,lower,364.2
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_nokaslr,ms,lower,410.1
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_random_trust_cpu,ms,lower,413.6
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_rcu_expedited,ms,lower,409.8
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,cold_start_tsc_reliable,ms,lower,411
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_cold,ms,lower,439.7
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_restore,ms,lower,95.3
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,network_snapshot_restore_wall,ms,lower,191.9
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start,ms,lower,269.652418
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start_guest_exit_teardown,ms,lower,58.450592
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_cold_start_peak_rss,MiB,lower,71.06640625
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_generation,ms,lower,244.157828
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_generation_peak_rss,MiB,lower,84.52734375
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore,ms,lower,240.754776
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore_guest_exit_teardown,ms,lower,2186.530789
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,openvmm_snapshot_restore_peak_rss,MiB,lower,67.12890625
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_128_mib,ms,lower,410.5
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_256_mib,ms,lower,432
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_512_mib,ms,lower,436.9
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_cold_64_mib,ms,lower,400.2
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_128_mib,ms,lower,72.3
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_256_mib,ms,lower,94.4
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_512_mib,ms,lower,92.7
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,shell_snapshot_restore_64_mib,ms,lower,60
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_read,MB/s,higher,584.1
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_roundtrip,ms,lower,622.4
linux-mshv-baremetal,2,4,9f840ea2acff3a8285228d589849f0612ee35929,virtfs_live_write,MB/s,higher,370.9
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_base,ms,lower,411.8
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_clocksource,ms,lower,410.3
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_cryptomgr_notests,ms,lower,413
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_mitigations_off,ms,lower,316.8
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_no_timer_check,ms,lower,367.2
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_nokaslr,ms,lower,416.1
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_random_trust_cpu,ms,lower,416.5
linux-mshv-baremetal,2,4,14111031e0a96fe16c9db996e4324c0c438b9b2f,cold_start_rcu_expedited,ms,lower,410.4
