commit,metric,unit,direction,p50
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,cold_start_fast,ms,lower,330.6
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,cold_start_kernel_handoff_loud,ms,lower,711.5
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,cold_start_kernel_handoff_quiet,ms,lower,629.5
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,cold_start_shell_loud,ms,lower,723.5
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,cold_start_shell_silent,ms,lower,420.6
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,network_snapshot_cold,ms,lower,4685.2
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,network_snapshot_restore,ms,lower,2553.2
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,network_snapshot_restore_wall,ms,lower,2647.9
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,python_snapshot_cold,ms,lower,2864.6
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,python_snapshot_restore,ms,lower,174.6
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_cold_128_mib,ms,lower,391.4
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_cold_256_mib,ms,lower,399.5
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_cold_512_mib,ms,lower,420.9
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_cold_64_mib,ms,lower,386.9
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_restore_128_mib,ms,lower,59.6
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_restore_256_mib,ms,lower,59.4
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_restore_512_mib,ms,lower,59.9
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,shell_snapshot_restore_64_mib,ms,lower,57.7
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,virtfs_ephemeral_read,MB/s,higher,84.3
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,virtfs_ephemeral_write,MB/s,higher,35
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,virtfs_persistent_read,MB/s,higher,41.2
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,virtfs_persistent_write,MB/s,higher,32.3
a65a0f07944e88f583a8d93a7e5bcb6b4ee326c0,virtfs_reuse,ms,lower,2287
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,cold_start_fast,ms,lower,283.9
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,cold_start_kernel_handoff_loud,ms,lower,728.2
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,cold_start_kernel_handoff_quiet,ms,lower,593.3
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,cold_start_shell_loud,ms,lower,686.6
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,cold_start_shell_silent,ms,lower,376.5
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,network_snapshot_cold,ms,lower,2419.5
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,network_snapshot_restore,ms,lower,2072.1
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,network_snapshot_restore_wall,ms,lower,2159.1
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,python_snapshot_cold,ms,lower,2813.7
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,python_snapshot_restore,ms,lower,176.5
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_cold_128_mib,ms,lower,344
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_cold_256_mib,ms,lower,362.6
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_cold_512_mib,ms,lower,386.6
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_cold_64_mib,ms,lower,355.2
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_restore_128_mib,ms,lower,55.9
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_restore_256_mib,ms,lower,55.8
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_restore_512_mib,ms,lower,56.7
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,shell_snapshot_restore_64_mib,ms,lower,53.3
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,virtfs_ephemeral_read,MB/s,higher,79.3
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,virtfs_ephemeral_write,MB/s,higher,32.6
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,virtfs_persistent_read,MB/s,higher,68.8
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,virtfs_persistent_write,MB/s,higher,25.4
cb2f2ed43cb8cb409cb19dbbeae5b1d6fbe5c52a,virtfs_reuse,ms,lower,2273.7
ab60257642fca7644a2146fa94c2ba0d6c355b54,cold_start_fast,ms,lower,279.1
